Summary Report,,,,,
,,,,,
,,,,,
,,,,,
,,Month ,Income ,Outcome ,Profit 
,,Jan," RM39,087.00 "," RM29,533.17 "," RM9,553.83 "
,,Feb," RM44,814.00 "," RM32,015.87 "," RM12,798.13 "
,,Mar," RM53,172.60 "," RM44,638.59 "," RM8,534.01 "
,,Apr," RM72,444.40 "," RM55,404.28 "," RM17,040.12 "
,,May," RM49,527.30 "," RM34,488.72 "," RM15,038.58 "
,,Jun," RM45,786.90 "," RM36,370.10 "," RM9,416.80 "
,,Jul," RM77,355.50 "," RM73,645.15 "," RM3,710.35 "
,,Aug," RM58,965.45 "," RM39,016.46 "," RM19,949.00 "
,,Sep," RM46,524.10 "," RM33,161.37 "," RM13,362.73 "
,,Oct," RM61,130.00 "," RM35,974.41 "," RM25,155.59 "
,,Nov," RM44,363.00 "," RM27,756.23 "," RM16,606.77 "
,,,,,
,,,Total income,Total Outcome ,Total net profit
,,Total: ," RM593,170.25 "," RM442,004.35 "," RM151,165.90 "
